	entities	total_count
324	coronavirus disease 2019 (covid 19) related acute respiratory distress syndrome	19
298	covs infection	19
313	cov pneumonia	18
303	covid 19 related infections	18
353	coronavirus 19 (covid 19) infection	18
429	multisystem inflammatory syndrome in children associated with covid 19	18
315	x linked recessive	18
339	long covid19	18
397	2019, novel coronavirus disease	17
342	coronavirus respiratory disease	17
386	coronavirus disease caused by sars cov 2	16
336	ncov disease	16
334	sars cov 2 respiratory infection	16
374	coronavirus disease 2019 (covid 19) associated pneumonia	15
410	infection caused by novel coronavirus	15
387	coronaviruses severe acute respiratory syndrome	15
457	infection caused by coronavirus	15
371	syndrome due to sars cov 2	15
430	coronavirus infectious diseases	15
364	novel coronavirus 2019 infection	15
369	2019 ncov disease	14
358	covid 19 associated disease	14
432	infection due to coronavirus	14
348	illness due to sars cov 2	14
401	coronavirus 2 syndrome	14
384	illness from coronavirus	14
442	coronavirus infection pneumonia	14
350	pneumonia due to coronavirus	14
351	covid 19 virus disease	14
391	disease caused by sars cov 2 coronavirus	14
366	illness from sars cov 2	13
359	ards due to sars cov 2	13
360	covid 19 related disorders	13
362	sars cov 2 associated acute respiratory distress syndrome	13
363	coronavirus pneumonia 2019	13
470	pneumonia caused by 2019 novel coronavirus	12
481	coronavirus 2019 (covid 19) pneumonia	12
439	infection from severe acute respiratory syndrome coronavirus 2	12
511	novel coronavirus infection pneumonia	12
475	novel coronavirus disease 2019 (covid 19) pneumonia	12
500	corona infections	12
377	infections from sars cov 2	12
398	coronavirus disease (covid 19) infections	12
392	cov 2 virus disease	12
375	sars cov 2 acute infection	12
400	coronavirus (sars cov 2) pneumonia	12
412	disease due to coronavirus	12
484	novel coronavirus diseases 2019	11
395	covid 19 respiratory syndrome	11
390	seafood market pneumonia	11
407	illness caused by coronavirus	11
461	coronavirus 19 infection	11
433	novel coronavirus disease (covid 19) infection	11
504	corona disease 2019	11
506	infection due to severe acute respiratory syndrome coronavirus 2	11
416	2019 new coronavirus disease	11
462	severe acute respiratory syndrome coronavirus 2 (sars cov 2) related disease	10
490	multisystem inflammatory disease in children	10
513	coronavirus disease 19 infection	10
477	acute respiratory distress syndrome (ards) caused by sars cov 2	10
533	novel corona virus pneumonia	10
466	sars coronavirus 2 disease	10
595	disease caused by severe acute respiratory syndrome corona virus 2	10
415	coronavirus syndromes	10
548	sars coronavirus 2 infection	10
422	disorders caused by sars cov 2	10
449	sars cov 2 severe infection	10
426	illness due to coronavirus	10
428	sars cov 2 related infection	10
419	pneumonia caused by coronaviruses	10
424	sars cov 2 virus disease	10
413	acute respiratory disease caused by sars cov 2	10
411	covid 19 virus infections	10
443	pneumonia caused by 2019 ncov	10
436	virus causing covid 19 disease	10
464	covid 19 infectious diseases	9
531	cov 2 diseases	9
497	2019, novel coronavirus pneumonia	9
437	2019 ncov acute respiratory disease	9
438	ncov acute respiratory disease	9
573	coronavirus disease19	9
480	infection caused by sars cov2	9
465	syndrome from coronavirus	9
619	severe acute respiratory syndrome corona virus 2 infection	9
659	new coronavirus (sars cov 2) infection	9
527	pneumonia caused by new coronavirus	8
540	2019 coronavirus (covid 19) infection	8
538	cov 2 pneumonias	8
536	acute respiratory distress syndrome due to sars cov 2	8
594	pneumonia from sars cov 2	8
532	novel coronavirus illness	8
653	novel coronavirus respiratory disease	8
528	acute respiratory syndrome (sars) caused by sars cov 2	8
576	novel severe acute respiratory syndrome coronavirus 2 infection	8
444	chinese coronavirus	8
468	covid related diseases	8
514	new corona virus infection	8
445	respiratory infection caused by sars cov 2	8
503	coronavirus disease pneumonia	8
