	entities	total_count
345	ay.43.2	6
347	ba.1 lineage	6
346	ay.127	6
350	b.1.311	6
352	india variant	6
353	lineage b.1.195	6
354	b.1.1.54	6
355	b.1.1.56	6
357	ay.122	6
339	b.4 lineage	6
400	lineage b.1.258	5
395	ay.33	5
525	clade gry	5
393	b.1.595	5
399	c lineage	5
456	24a	5
441	xct	5
449	lineage a.27	5
452	24e	5
531	21b	5
505	c.2	5
394	b.1.640	5
384	iota variant	5
392	19a clade	5
382	b.1.617.3 lineage	5
373	b.1.1.222	5
374	b.1.243	5
375	b.1.3	5
378	b.1.620 variant	5
391	20c clade	5
380	b.1.128	5
381	xch	5
379	b.1.630	5
385	variant p.2	5
390	b.1.621 lineage	5
389	p.4	5
388	c.36	5
383	clade 19b	5
387	ay.4 lineage	5
405	wuhan/wh04/2020	4
440	b.1.1.220	4
403	b.1.351.1	4
442	b.1.1.214 lineage	4
444	kent variant	4
445	b.1.243.1	4
446	xcv	4
448	xcn	4
450	n.5	4
451	p.5	4
455	b.1.1.420	4
453	lineage c.37	4
454	b.1.35	4
437	fr.2	4
406	variant ay.127	4
458	g lineage	4
682	lineage b.3	4
664	variant a.27	4
650	22e	4
469	22b	4
471	d variant	4
476	m variant	4
438	b.1.631	4
457	clade 19a	4
436	b.1.214.1	4
420	ay.120	4
407	lineage c.1.2	4
408	et variant	4
409	ay.23	4
435	variant b.1	4
411	s lineage	4
412	b.1.214.2	4
414	xdb	4
415	b.1.582	4
416	b.1.80	4
417	b.1.411 lineage	4
418	variant cl	4
419	lineage p.6	4
410	b.1.1.345	4
421	variant b.1.427	4
433	ga variant	4
431	b.1.596	4
430	a.2.2	4
432	p.1.3	4
429	p.1.4	4
422	b.1.1.8	4
434	b.1.1.63	4
428	a.6	4
427	b.1.177 variant	4
426	a.23	4
424	p.7	4
404	b.1.160 lineage	4
536	b.1.36.31	3
537	ae.4	3
534	xbt	3
533	mk lineage	3
532	b.1.1.525	3
535	b.1.311 lineage	3
528	b.1.1.524	3
530	21c	3
529	lineage b.1.1.29	3
539	gv clade	3
527	b.1.234	3
517	at variant	3
524	b.1.375	3
522	b.1.640 lineage	3
521	lineage b.1.525	3
520	b.1.474	3
538	b.1.258 lineage	3
544	b.1.1.28 variant	3
540	b.1.617.3 variant	3
552	gr.1	3
638	24f	3
632	lineage r.1	3
621	n.7	3
556	b.1.36.27 lineage	3
555	b.1.1.241 lineage	3
554	b.1.1.241	3
553	gv.1	3
551	lineage n.9	3
541	lineage b.1.1.389	3
550	b.1.1.316	3
549	b.1.5 lineage	3
547	b.1.1.318 lineage	3
546	b.1.36.16	3
545	b.1.36.10	3
543	b.1.416	3
542	b.1.1.389	3
519	b.1.367	3
485	variant u	3
516	lineage b.1.524	3
488	b.1.106	3
486	d.3	3
484	lineage b.1.1.298	3
483	b.1.13	3
482	b.1.497	3
481	b.1.362 lineage	3
479	21m	3
478	n.9 lineage	3
475	b.1.1.119	3
474	b.1.36.29	3
472	b.1.1.141	3
468	b.1.1.519 variant	3
465	variant b.1.526	3
515	lineage b.1.575.2	3
466	v variant	3
464	variant b.1.618	3
459	b.1.362	3
463	a.30 variant	3
487	ay.122 lineage	3
470	turkey/eragem 001/2020	3
491	lineage ay.4.2	3
504	b.1.177 lineage	3
514	b.1.427 variant	3
513	b.1.141	3
492	b.1.291	3
512	b.1.112	3
511	xdc	3
509	lineage b.1.1.1	3
507	shanghai/sh0007/2020	3
506	23g	3
460	ae.1	3
503	ay.39	3
499	b.1.13 lineage	3
494	n.2	3
496	ay.38	3
497	b.1.1.170	3
